 ,Time,Time,Place,Place,Place,Place,Place,Place,Place,Environment,Environment,Environment,Environment,Environment,Environment,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Component,Component,Component,Component,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Person 1,Person 1,Person 1,Person 1,Person 1,Person 1,Person 1,Person 1,Person 1,Person 1,Person 1,Person 2,Person 2,Person 2,Person 2,Person 2,Person 2,Person 2,Person 2,Person 2,Person 2,Person 2,Events,Events,Events,Events,Events,Events,Assessments,Assessments,Report 1,Report 1,Report 2,Report 2,Report 1,
ACN,Date,Local Time Of Day,Locale Reference,State Reference,Relative Position.Angle.Radial,Relative Position.Distance.Nautical Miles,Altitude.AGL.Single Value,Altitude.MSL.Single Value,Latitude / Longitude (UAS),Flight Conditions,Weather Elements / Visibility,Work Environment Factor,Light,Ceiling,RVR.Single Value,ATC / Advisory,Aircraft Operator,Make Model Name,Aircraft Zone,Crew Size,Operating Under FAR Part,Flight Plan,Mission,Nav In Use,Flight Phase,Route In Use,Airspace,Maintenance Status.Maintenance Deferred,Maintenance Status.Records Complete,Maintenance Status.Released For Service,Maintenance Status.Required / Correct Doc On Board,Maintenance Status.Maintenance Type,Maintenance Status.Maintenance Items Involved,Cabin Lighting,Number Of Seats.Number,Passengers On Board.Number,Crew Size Flight Attendant.Number Of Crew,Airspace Authorization Provider (UAS),Operating Under Waivers / Exemptions / Authorizations (UAS),Waivers / Exemptions / Authorizations (UAS),Airworthiness Certification (UAS),Weight Category (UAS),Configuration (UAS),Flight Operated As (UAS),Flight Operated with Visual Observer (UAS),Control Mode (UAS),Flying In / Near / Over (UAS),Passenger Capable (UAS),Type (UAS),Number of UAS Being Controlled (UAS),Aircraft Component,Manufacturer,Aircraft Reference,Problem,ATC / Advisory,Aircraft Operator,Make Model Name,Aircraft Zone,Crew Size,Operating Under FAR Part,Flight Plan,Mission,Nav In Use,Flight Phase,Route In Use,Airspace,Maintenance Status.Maintenance Deferred,Maintenance Status.Records Complete,Maintenance Status.Released For Service,Maintenance Status.Required / Correct Doc On Board,Maintenance Status.Maintenance Type,Maintenance Status.Maintenance Items Involved,Cabin Lighting,Number Of Seats.Number,Passengers On Board.Number,Crew Size Flight Attendant.Number Of Crew,Airspace Authorization Provider (UAS),Operating Under Waivers / Exemptions / Authorizations (UAS),Waivers / Exemptions / Authorizations (UAS),Airworthiness Certification (UAS),Weight Category (UAS),Configuration (UAS),Flight Operated As (UAS),Flight Operated with Visual Observer (UAS),Control Mode (UAS),Flying In / Near / Over (UAS),Passenger Capable (UAS),Type (UAS),Number of UAS Being Controlled (UAS),Location Of Person,Location In Aircraft,Reporter Organization,Function,Qualification,Experience,Cabin Activity,Human Factors,Communication Breakdown,UAS Communication Breakdown,ASRS Report Number.Accession Number,Location Of Person,Location In Aircraft,Reporter Organization,Function,Qualification,Experience,Cabin Activity,Human Factors,Communication Breakdown,UAS Communication Breakdown,ASRS Report Number.Accession Number,Anomaly,Miss Distance,Were Passengers Involved In Event,Detector,When Detected,Result,Contributing Factors / Situations,Primary Problem,Narrative,Callback,Narrative,Callback,Synopsis,

79866,198801,1801-2400,CVG,OH,60,35,,31000,,VMC,,,Night,,,Center ZID,Air Carrier,Medium Large Transport; Low Wing; 2 Turbojet Eng,,2,,IFR,Passenger,,Descent; Descent; Climb; Cruise,Direct; Other Departure,Class A ZID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Any Unknown or Unlisted Aircraft Manufacturer,,,,IFR,,,Cruise; Cruise,Direct,,,,,,,,,,,,,,,,,,,,,,,,,,,Air Carrier,Captain,Flight Crew Air Transport Pilot (ATP),Flight Crew Last 90 Days 150; Flight Crew Total 6000; Flight Crew Type 400,,,,,79866,,,,Single Pilot; Pilot Flying; First Officer,Flight Crew Air Transport Pilot (ATP),Flight Crew Last 90 Days 180; Flight Crew Total 10000; Flight Crew Type 1500,,,,,,Other No Specific Anomaly Occurred,,,Automation Air Traffic Control; Person Air Traffic Control,,Air Traffic Control Issued New Clearance,,Human Factors,"WE WERE IN OUR CLB FROM CMH TO DFW; WITH A CLRNC TO FL310. PASSING FL280; IND CENTER ASKED FOR A WIND RPT; WHICH WE GAVE. IND CENTER THEN ISSUED CLB CLRNC TO FL350. PASSING FL320; IND CENTER ASKED OUR ALT; THEN GAVE THE CLRNC; 'DES TO FL310.' WE ACKNOWLEDGED AND I ASKED IF THERE WAS A TFC PROB. THE REPLY WAS; 'NOT YET; BUT I NEED YOU LEVEL IN 1 MIN.' TFC PASSED ABOUT 1 MIN LATER OPP DIR AT FL330. IND CENTER THEN ASKED WHAT ALT WE HAD BEEN CLRD TO; TO WHICH WE RESPONDED FL350. I HAD READ BACK THE CLRNC AND THE F/O SET THE ALT ALERT. WE ARE SURE THE CLRNC WAS GIVEN IN ERROR TO FL350. ALSO; THE OTHER ACFT WAS COMING FROM ANOTHER CTLRS AIRSPACE. NO TFC CONFLICT OCCURRED.",,,,"AFTER LEAVING FL320 MLG INSTRUCTED TO DES TO FL310 AFTER BEING INITIALLY CLEARED TO FL350. PIC CAPT OBSERVED OPPOSITE DIRECTION TRAFFIC PASS 1 MINUTE LATER AT FL330.",
79912,198801,1201-1800,SEA; BFI,WA,,6,,900,,VMC,,,Daylight,,,TRACON SEA; Tower BFI,Personal,Small Aircraft; Low Wing; 1 Eng; Fixed Gear,,1,,VFR,Personal,,Climb; Takeoff / Launch; Initial Climb,,Class B SEA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other Nonprofessional GA,Pilot Flying; Single Pilot,Flight Crew Private,Flight Crew Last 90 Days 5; Flight Crew Total 108; Flight Crew Type 83,,,,,79912,,,,Local,Air Traffic Control Fully Certified,,,,,,,Deviation / Discrepancy - Procedural FAR; Other Airspace Violation Entry or Exit,,,Person Air Traffic Control,,Flight Crew Exited Penetrated Airspace,,Human Factors,"THIS WAS MY FIRST DEP FROM BFI ON 31L. MY TURN TO THE SOUTH WAS PREMATURE. BFI TWR ALERTED ME TO THE PENETRATION AT WHICH TIME A VECTOR WAS GIVEN TO MOVE ME OUT OF THE TCA.",,,,"SMA PENETRATED TCA ON CLIMB OUT.",
79965,198801,1201-1800,DEN,CO,,20,,7500,,VMC,20,,Daylight,,,TRACON DEN; Tower APA,Personal,Small Transport; Low Wing; 2 Recip Eng,,1,,None,Personal,,Descent; Descent,,Class B DEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other Nonprofessional GA,Single Pilot; Pilot Flying,Flight Crew Air Transport Pilot (ATP),Flight Crew Last 90 Days 100; Flight Crew Total 2000; Flight Crew Type 350,,,,,79965,,,,,,,,,,,,Deviation / Discrepancy - Procedural FAR; Inflight Event / Encounter Weather / Turbulence; Other Airspace Violation Entry or Exit,,,Person Air Traffic Control,,General None Reported / Taken,,Human Factors,"A VFR FLT; BEING CONDUCTED UNDER FAR PART 91; WAS APCHING DENVER CENTENNIAL ARPT (APA) FROM THE SW. ATIS INDICATED VISUAL APCH TO RWY 35L/R IN USE. DSCNT WAS COMMENCED FROM 17500' MSL; 50 SW OF APA; PLANNING A FINAL APCH ALT OF 7500 MSL WITH A TARGET ALT OF 8000 MSL 20 SW OF DEN. AT APPROX 13000' MSL; 30 SW OF DEN; HDG 060 DEG MAGNETIC; IAS OF 200 KTS; SEVERE TURB WAS ENCOUNTERED (SIGMET FOR SUCH WAS CURRENT). THE ACFT WAS SLOWED TO DESIGN MANEUVERING SPD (155 KTS); TEMPORARILY STOPPING DSCNT. TO AVOID TCA CONFLICT A 30 DEG RIGHT TURN (TO 090 DEG MAGNETIC) WAS MADE. DME INFO FROM DEN VORTAC INDICATED POSITION OUTSIDE TCA. SEVERE TURB AND COCKPIT WORKLOAD PREVENTED RETUNING NAV RECEIVER TO 110.3 MHZ (DEN 26L ILS AND NAV FAC UPON WHICH TCA IS PREDICATED; APPROX 1 1/2 NM SSW OF DEN VORTAC); HOWEVER; VISUAL INFO INDICATED POSITION TO CONTINUE TO BE OUTSIDE OF TCA UNTIL 10000' MSL REACHED WHEN HDG 080 DEG MAGNETIC ASSUMED FOR 'WIDE LEFT BASE; OUTSIDE POWER LINES TO 35R' AS ADVISED BY APA TWR. (THESE POWER LINES ARE NOTED TO BE AT 16 DME TCA ARC ON DEN TCA CHART.) AT 8500' MSL; XING I25 (ROAD) AND S OF POWER LINES; CONTACT WITH APA TWR WAS MADE AS REQUESTED AND TURN TO FINAL COMMENCED. THE ACFT WAS SLOWED TO VLE SPD (140 KT) SLOWING DSCNT UNTIL TURN TO FINAL COMPLETED. VASI INDICATED PINK/WHITE; NECESSITATING SLIGHTLY INCREASED DSCNT RATE; UNTIL RED/WHITE OBTAINED AND THE LNDG COMPLETED. REQUEST WAS RECEIVED FROM APA TWR TO CONTACT DEN TRACON BY TELEPHONE. REQUEST COMPLIED WITH AND SUPVR OF DEN APCH ADVISED THAT AN ACFT APPROX OUR APCH PROFILE ENCROACHED DEN TCA IN 2 AREAS (SW CORNER AND S OF APA). DEN WAS ADVISED THAT OUR ACFT WAS CLEAR OF TCA AT ALL TIMES TO THE BEST OF PIC'S KNOWLEDGE; EVEN GIVEN LIMITATIONS PRESENTED BY SEVERE TURB AND INCREASED FLT DECK WORKLOAD. TWO POINTS OF SAFETY ARE NOTED BY THIS PIC: 1) DEN TCA WOULD BE BETTER PREDICATED ON DEN VORTAC TO AVOID NECESSITY OF CONTINUOUS RETUNING OF NAV EQUIPMENT AT TIMES WHEN THE FLT DECK WORKLOAD IS HIGHEST. LESS SOPHISTICATED ACFT AND THOSE NOT UTILIZING THE DEN ILS ARE THE MOST LIKELY TO REQUIRE TCA AVOIDANCE. 2) IN THIS PIC'S JUDGEMENT; TCA AVOIDANCE (OR APCH CTL CONTACT) CAN BE CONSIDERED SECONDARY TO ACFT CTL AND PAX SAFETY IN CONDITIONS OF SEVERE TURB; THOUGH OBVIOUSLY SUCH CANNOT BE COMPLETELY IGNORED.",,,,"SMT PLT DESCENDED TO ARPT UNDERLYING TCA; ACCUSED OF PENETRATING TCA.",
79997,198801,1201-1800,LUK,OH,,5,0,,,VMC,15,,Daylight,,,Tower LUK,FBO,Small Aircraft; Low Wing; 1 Eng; Fixed Gear,,1,,VFR,Personal,,Landing; Initial Approach; Landing; Other Pattern,,Class D LUK; Class E LUK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other Nonprofessional GA,Pilot Flying; Single Pilot,Flight Crew Commercial; Flight Crew Instrument,Air Traffic Control Military 8; Flight Crew Last 90 Days 15; Flight Crew Total 890; Flight Crew Type 625,,,,,79997,,,,Local,Air Traffic Control Fully Certified,,,,,,,Other No Specific Anomaly Occurred,,,Person Flight Crew,,General None Reported / Taken,,Human Factors,"SITUATION BEGAN ON A ROUTINE VFR PLEASURE FLT INTO LUK ARPT. ONBOARD ACFT WERE MYSELF; AN ATC SPECIALIST STATION WITH A COMMERCIAL CERTIFICATE AND INSTRUMENT RATING AND THE COPLT AEFII/MEI. AT 10 MI NE OF THE ARPT WE MADE THE INITIAL CALL UP WITH THE TWR. WE WERE INSTRUCTED TO FLY STRAIGHT IN TO RWY 20L AND RPT A 3 MI FINAL. AT 6 MI OUT THE LCL CTLR WAS WORKING ABOUT 5-6 ACFT ON 2 PARALLEL RWYS. AT THIS TIME THE CTLR ASKED AN ACFT WITH A CALL SIGN CLOSE TO OURS TO IDENT ON THE TRANSPONDER. I HEARD THE CTLR IMMEDIATELY START TALKING TO ANOTHER ACFT SO I ASSUMED THAT THE INSTRUCTIONS WERE FOR THAT ACFT. AGAIN THE CTLR ASKED THE ACFT WITH CLOSE CALL SIGN TO DO SOMETHING; AND I ASKED IF THE INSTRUCTION WAS FOR ME. AGAIN THE CTLR STARTED TO TALK TO ANOTHER ACFT. THEN THE CTLR ASKED US; USING WRONG TAIL NUMBER; TO SWITCH TO RWY 20R. AT THAT TIME I AGAIN ASKED IF THESE INSTRUCTIONS WERE FOR US. THIS TIME HE UNDERSTOOD ME AND REALIZED HE WAS USING THE WRONG CALL SIGN AND ASKED ME TO SWITCH TO RWY 20R. OVER THE NUMBERS FOR 20R I HAD TO ASK FOR LNDG CLRNC WHICH WAS RECEIVED. EVEN THOUGH NO MIDAIR OR VIOLATION TOOK PLACE; THIS SITUATION COULD HAVE DEVELOPED INTO AN INCIDENT. THE CTLR DID NOT WAIT FOR A REPLY OR ACKNOWLEDGEMENT TO HIS INSTRUCTIONS AND DID NOT HEAR WHAT WAS BEING SAID; BUT HEARD WHAT HE EXPECTED TO HEAR! ALL PLTS AND CTLRS MUST BE MADE AWARE TO LISTEN FOR A CORRECT REPLY AND AN ACTION TAKEN BY THE ONE RECEIVING THE INSTRUCTION. IF THE SITUATION CONTINUES TO DEVELOP; TAKE ACTION AND DETERMINE THE PROB. IN THIS CASE ALL THE CTLR HAD TO DO IS ASK; 'ACFT INSTRUCTED TO RPT 3 MI FINAL 20L SAY NUMBERS.' WITH THIS INFO HE COULD HAVE EASILY HAVE CTLED THE SITUATION BY MAKING CERTAIN OF THE ACFT HE NEEDED TO COMMUNICATE WITH WAS US.",,,,"ATCT LCL CTLR MIXES UP CALL SIGNS.",
79998,198801,1201-1800,PUT; BOS,MA,,20,,28000,,VMC,,,Dusk,,,Center ZBW,Air Carrier,Widebody; Low Wing; 3 Turbojet Eng,,3,,IFR,Passenger,,Cruise; Cruise,Direct,Class A ZBW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Air Carrier,Captain,Flight Crew Air Transport Pilot (ATP),Flight Crew Last 90 Days 180; Flight Crew Total 17000; Flight Crew Type 1200,,,,,79998,,,,First Officer,Flight Crew Instrument; Flight Crew Commercial,,,,,,,Aircraft Equipment Problem Less Severe; Deviation - Track / Heading All Types; Deviation / Discrepancy - Procedural Clearance,,,Person Air Traffic Control,,Air Traffic Control Issued New Clearance; Flight Crew Overcame Equipment Problem,,Human Factors,"CLRD DIRECT PVT VOR AFTER TKOF BOS. USING R NAV FMS AND OMEGA BOS CENTER ADVISED WE MISSED PVT VOR BY 20 MI. UPON CHECKING FOUND BOTH FMS AND OMEGA IN GROSS ERROR. ADVISED CENTER OF SAME AND REQUESTED AIRWAYS FLT PLAN. RECEIVED SAME. MALFUNCTION RECORDED IN ACFT LOG FOR MAINT ACTION.",,,,"FMS STEERED ACFT SOME 20-25 MI OFF COURSE WITH NO WARNING TO FLT CREW.",
80003,198801,0601-1200,YUM,AZ,,,0,,,,,,Daylight,,,,Air Taxi,Medium Transport,,2,,IFR,Passenger,,Parked,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Air Taxi,Captain,Flight Crew Air Transport Pilot (ATP),Flight Crew Last 90 Days 120; Flight Crew Total 11000,,,,,80003,,,,FBO Personnel,Other Other,,,,,,,Other Unspecified,,,Person Flight Crew,,,,Airport,"60 GALLONS 'JET A' FUEL ADDED TO LEFT WING DURING REFUELING ON STOP OVER. SOMEONE ASKED IF WE USED JET FUEL. I SAID; 'NO; WHY?' COMPANY WAS CONTACTED AND IT WAS DECIDED TO DRAIN THE LEFT WING AND ALL DRAINS. 20 MORE GALLONS WERE ADDED AND DRAINED. MORE FUEL ADDED AND SAMPLE APPEARED NORMAL. WING WAS REFUELED. ENGINES WERE STARTED AND RUN FOR 20 MINUTES. ENGINE RUNUP WAS UNEVENTFUL AS WAS RETURN TRIP TO OXNARD; CA. COMPLACENCY AND INATTENTION TO THE JOB AT HAND ARE THE CAUSES OF THIS INCIDENT. THE FUELER LEARNED THAT ALL LARGE A/C DO NOT TAKE JET FUEL AND I ONCE AGAIN WAS REMINDED THAT PEOPLE DON'T ALWAYS KNOW HOW TO DO THE JOB TO WHICH THEY ARE ASSIGNED.",,,,"ACFT WAS SERVICED WITH JET A FUEL INSTEAD OF GASOLINE.",
80007,198801,1201-1800,EMI,MD,,25,,16000,,VMC,,,Daylight,,,Center ZDC,Air Carrier,Large Transport; Low Wing; 3 Turbojet Eng,,3,,IFR,Passenger,,Descent; Descent,,Class E ZDC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Air Carrier,Medium Large Transport; Low Wing; 2 Turbojet Eng,,2,,IFR,Passenger,,Climb; Cruise,,,,,,,,,,,,,,,,,,,,,,,,,,,,Government,Enroute,Air Traffic Control Fully Certified,Air Traffic Control Radar 18,,,,,80007,,,,Captain; Pilot Flying,Flight Crew Air Transport Pilot (ATP),,,,,,,ATC Issue All Types; Conflict Airborne Conflict,Horizontal 25800; Vertical 200,,Person Air Traffic Control,,Air Traffic Control Issued New Clearance; General None Reported / Taken,,Human Factors,"ACR Y CLIMBING TO FL210 WAS STOPPED AT 160 FOR TFC AT 170; WHICH PASSED. ACR Y WAS THEN KEPT AT 160. ACR X WAS DESCENDED TO 170 UNTIL CLEAR OF TFC; THEN DESCENDED TO 150 . ACR X WAS NOT OUT OF 170 WHEN CLRNC ISSUED TO STOP AT 170. NO ANSWER. CLRNC GIVEN AGAIN. NO ANSWER. TURNED ACR Y FROM 320 DEG TO 250 DEG HDG. CLRNC TO ACR X AGAIN WITH TURN TO 060 DEG; NO ANSWER. FINALLY ACR X ANSWERED AND TURNED TO 060 DEG WITH CLIMB BACK TO 170. ACFT PASSED 4.3 MI AND 200' APART. ACR X DID NOT RESPOND TO CLRNC. POSSIBLE LACK OF COCKPIT DISCIPLINE.",,,,"LESS THAN STANDARD SEPARATION BETWEEN TWO ACR ACFT.",
80010,198801,1801-2400,SMX,CA,,,0,,,VMC,25,,Night,,,,Air Carrier,Light Transport; Low Wing; 2 Turboprop Eng,,2,,None,Passenger,,Initial Approach; Landing; Landing,Visual Approach,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Air Carrier,Captain,Flight Crew Flight Instructor; Flight Crew Air Transport Pilot (ATP),Flight Crew Last 90 Days 250; Flight Crew Total 2650; Flight Crew Type 720,,,,,80010,,,,First Officer,Flight Crew Instrument; Flight Crew Commercial,,,,,,,Deviation - Track / Heading All Types; Deviation / Discrepancy - Procedural FAR,,,Person Flight Crew,,General None Reported / Taken,,Human Factors,"SOME TIME HAD PASSED AFTER WE HAD PASSED THE RZS VOR INBND TO SBP. I USED MY FAMILIARIZATION WITH THE AREA'S GND LIGHTING TO DETERMINE THAT WE WERE APCHING THE SMX-SBP AREA. ALSO; I DETERMINED THAT DUE TO OUR CLOSE PROX TO THE AREA THAT WE NEEDED TO START A DES RATHER QUICKLY. OTHERWISE; WE COULD NOT HAVE BEEN ABLE TO MEET THE LTT'S DES LIMITATION OF A MAX 1000 FPM RATE OF DES AND STILL BE ABLE TO MAINTAIN A REASONABLE SPD TO THE ARPT. I ASKED ATC FOR A LOWER ALT AND WAS ASSIGNED TO 7000'. IN MY OPINION THIS ALT WAS STILL TOO HIGH TO MEET THE LTT'S LIMITATION SO I STARTED LOOKING FOR THE ARPT IN ORDER TO BE ASSIGNED A VISUAL APCH AND UNRESTRICTED LOWER ALT. WHEN APCHING THE SMX-SBP AREA FROM THE S; SBP IS THE LAST CLUSTER OF LIGHTS SIGHTED BEFORE CONTINUING TO THE N. BOTH THE F/O AND I SIGHTED AN ARPT BEACON IN WHAT APPEARED TO BE THE LAST CLUSTER OF LIGHTS. WE BOTH ASSUMED THIS TO BE SBP SO I CALLED THE ARPT IN SIGHT TO ATC. (WE ACTUALLY COULD NOT SEE SBP BECAUSE OF REDUCED VIS. I ESTIMATE FLT VIS AT APPROX 20-25 MI. WE DID NOT REALIZE THIS AT THE TIME.) WE WERE APPROX 35-40 MI AWAY AT THE TIME OF THE CALL BUT ATC STILL ISSUED A VISUAL APCH W/O QUESTIONING AS TO WHETHER OR NOT WE REALLY HAD THE ARPT IN SIGHT. THE F/O THAT I WAS FLYING WITH WAS ONE THAT I CONSIDERED TO BE ABOVE AVERAGE SO I WAS RELIANT ON HIM TO JUDGE DISTANCE; SPD; ETC; AND TO SET US UP FOR A NORMAL LEFT TFC PATTERN INTO THE ARPT. I FOCUSED MY ATTN ON CALLING AND COMPLETING THE DES CHK; CALLING FOR CURRENT WX; SETTING UP THE RADIOS FOR A LOC BACK UP AND LOOKING OUT FOR TFC AND THE TERRAIN. WE WERE APPROX 4000' AND ON A HIGH LEFT DOWNWIND WHEN I CALLED; 'ARPT IN SIGHT; LNDG ASSURED; CANCEL IFR;' TO ATC. ATC SIMPLY CANCELLED AND WISHED US; 'GOOD NIGHT.' BECAUSE OF THE EASE AT WHICH ATC CANCELLED WE WERE FURTHER LED TO BELIEVE THAT WE WERE APCHING THE CORRECT DEST ARPT. AT THIS POINT SEVERAL CONSIDERATION SHOULD BE MADE AS TO WHY THE CTLR DID NOT QUESTION MY RADIO CALL: FROM OUR POS 30 MI SW AT 4000'THERE WAS NO WAY THAT I COULD HAVE SEEN SBP EVEN DURING DAYLIGHT UNLIMITED VIS AS THE ARPT IS SURROUNDED BY HILLY-MOUNTAINOUS TERRAIN; 30 MI OUT AT 4000' IN NO WAY ASSURED US OF A SUCCESSFUL LNDG AT SBP; THE F/O HAD SLOWED THE ACFT DOWN TO OUR FINAL APCH SPD OF 120 KTS (UNUSUAL FOR THE LTT UNTIL SHORT FINAL DURING VFR OPERATIONS); AND WE WERE NO LONGER HDG TO SBP BUT DIRECTLY TO SMX. HOWEVER; THE CTLR CANCELLED W/O ANY HESITATION OR QUESTIONING. IN FACT; THE CTLR GAVE US AN AUDIBLE IMPRESSION THAT HE WAS RELIEVED BECAUSE HE NO LONGER HAD TO DEAL WITH US. AT APPROX MID-FIELD LEFT DOWNWIND I STARTED MAKING POS RPTS ON THE CTAF AND TRIED TO IDENTIFY THE LOC. I COULD NOT RECEIVE THE IDENTIFIER AND ASSUMED THAT WE WERE IN THE NON-RECEIVING AREA OF THE LOC. BECAUSE OF THIS I COMMENTED TO THE F/O THAT THE LOC WOULD PROBABLY COME IN AFTER WE TURNED BASE LEG. BOTH CREW MEMBERS WERE VERY FAMILIAR WITH THE HILLY-MOUNTAINOUS TERRAIN SURROUNDING SBP. ACCORDINGLY; OUR ATTN FOCUSED ON THE GND LIGHTING AS THAT WAS ALL WE COULD SEE OF THE TERRAIN (IT WAS A VERY DARK NIGHT; NO MOON; NO HORIZON; ETC). BOTH CREW MEMBERS CONTINUED THROUGHOUT DOWNWIND AND BASE TO CONCENTRATE ON JUDGING DISTANCE FROM THESE LIGHTS AND LOOKING FOR TFC WITH THE F/O QUICKLY GLANCING AT THE RWY TO JUDGE HIS PATTERN WORK. AFTER TURNING ON TO FINAL I NOTICED THAT BOTH THE HSI (CAPT) AND THE OMNI-INDICATOR (F/O) STILL HAD NAV/FLAGS. I COMMENTED TO THE F/O THAT IT WAS STRANGE THAT THE LOC STILL HAD NOT COME IN. THE F/O GAVE NO RESPONSE AS I GAVE MY ATTN TO THE RADIOS AND AGAIN TRIED TO IDENTIFY THE LOC. I CONSIDERED THE POSSIBILITY OF A NAV RADIO FAILURE AND RECHECKED; RETUNED THE FREQ; ETC. I TOLD THE F/O THAT WE STILL HAD NAV/FLAGS AS I STARTED TO SCAN THE OTHER INSTRUMENTS. NO RESPONSE WAS GIVEN FROM THE F/O AS I NOTICED THAT WE WERE APPROX 400'. I STARTED CALLING OUT THE 500' CHK. ALSO; I BRIEFLY GLANCED OUTSIDE DURING THE CHK AND NOTICED THAT BOTH THE APCH LIGHTING SYS (ALS) AND VASI WERE NOT ON. I COMMENTEDABOUT THIS TO THE F/O BUT HE DID NOT RESPOND. FINALLY; THE F/O LOOKED OVER AND NOTICED THAT HE COULD NOT HEAR ME SPEAK. SOMEHOW; MY HOT-MIC SWITCH WAS CLICKED TO THE OFF POS (A COMMON COMPLAINT FROM SFAR 41 LTT CREWS!). THE F/O REACHED OVER TO THE LEFT SIDE OF MY CTL STICK AND TURNED THE SWITCH BACK ON AGAIN KEEPING MY ATTN TO THE INSIDE OF THE COCKPIT. AT APPROX 100' AND AFTER INITIALLY CALLING AIRSPD AND SINKRATE I STARTED LOOKING BACK OUTSIDE AND CONCENTRATING ON THE ARPT. I DID NOT RECOGNIZE THE NORMAL VISUAL CLUES FOR SBP AS THE RWY APPEARED TO BE WIDER AND MUCH LONGER AND THE RAMP AREA WAS DARK AND NOT LIT UP AS THAT OF SBP'S. I TRIED LOOKING FOR OTHER CLUES BUT EVERYTHING WAS MOVING RATHER QUICKLY AND WAS HARD TO IDENTIFY. CONSEQUENTLY; I ASKED THE F/O IF THIS REALLY WAS SBP AS I FIGURED THAT HE HAD BEEN LOOKING OUT AT THE ARPT SINCE WE HAD TURNED FINAL. THE F/O RESPONDED WITH A SOMEWHAT UNDISCERNING; 'I HOPE SO.' AT THAT POINT I DECIDED THE ARPT WE WERE ABOUT TO LAND AT WAS APPARENTLY NOT THAT OF SBP AND CALLED FOR A GO AROUND. UNFORTUNATELY; THE WHEELS TOUCHED SIMULTANEOUSLY AS I MADE THE CALL FOR A GO AROUND. SINCE THE WHEELS HAD TOUCHED AND I KNEW THAT WE HAD ENOUGH RWY TO STOP I ABORTED THE GO AROUND AND ASSUMED CTL OF THE ACFT. DURING ROLLOUT MY SUSPICIONS WERE CONFIRMED AS WE BOTH RECOGNIZED THE ARPT AS SMX. (THE FACT THAT I HAD VISUAL CONTACT WITH THE ALS GUARANTEED US ENOUGH RWY TO LAND. ONLY 2 ARPTS IN THE SMX-SBP AREA HAVE THE ALS AND WE WERE SUPPOSED TO BE LNDG ON THE SHORTEST OF THE TWO--SBP. THE OTHER ARPT IS SMX.) AFTER ROLLOUT I TAXIED TO THE GATE AS THE TWR WAS CLOSED; DEPLANED OUR SMX BOUND PAX AND CONFERRED WITH OUR DISPATCH.",,,,"ACR LTT LANDED AT THE WRONG ARPT; DESTINATION WAS SBP BUT LANDED AT SMX.",
